status,time,I_R,V_RN,VA_R,W_R,Var_R,PF_R,I_R_THD,V_RN_THD
100001,11/4/2023 17:13,0.7189883,227.1182,163.2953,103.3048,-126.4654,-0.6326253,13.81214,0.72076
100001,11/4/2023 17:13,0.7189883,227.1182,163.2953,103.3048,-126.4654,-0.6326253,13.07761,1.214699
100001,11/4/2023 17:13,0.7144651,227.0285,162.204,103.7882,-124.6521,-0.6398619,13.37259,0.9463399
100001,11/4/2023 17:13,0.7120178,227.2676,161.8186,104.0171,-123.9585,-0.6428007,14.20423,0.918358
100001,11/4/2023 17:13,0.7081548,227.175,160.8751,101.1483,-125.0993,-0.6287377,13.30744,0.6994866
100001,11/4/2023 17:13,0.7090345,227.1611,161.0651,103.2782,-123.5944,-0.6412202,14.79416,0.9194919
100001,11/4/2023 17:13,0.7046245,227.2251,160.1084,102.3815,-123.0964,-0.6394509,13.99285,0.4669075
100001,11/4/2023 17:13,0.7174258,227.1527,162.9652,103.4257,-125.9396,-0.634649,14.10961,0.3675428
100001,11/4/2023 17:13,0.7186413,226.986,163.1215,102.7677,-126.6785,-0.6300068,14.12167,0.3938201
100001,11/4/2023 17:13,0.7142906,227.1574,162.2564,103.2791,-125.1422,-0.636518,14.12167,0.3938201
100001,11/4/2023 17:13,0.7125429,227.05,161.7828,102.2183,-125.3998,-0.6318238,14.02046,0.9133979
100001,11/4/2023 17:13,0.7107909,227.2058,161.4958,101.886,-125.3001,-0.6308898,15.19664,1.565289
100001,11/4/2023 17:13,0.7151629,226.9778,162.3261,103.038,-125.431,-0.6347593,14.2878,1.163168
100001,11/4/2023 17:13,0.7127179,226.8951,161.7122,103.1782,-124.5194,-0.638036,13.99184,0.9868326
100001,11/4/2023 17:13,0.7081548,226.9572,160.7208,102.6211,-123.6935,-0.6385052,14.0907,1.548444
100001,11/4/2023 17:13,0.712193,227.1234,161.7557,102.53,-125.11,-0.6338569,14.15966,0.7269658
100001,11/4/2023 17:13,0.712193,227.0328,161.6911,102.9078,-124.7157,-0.6364468,13.87887,1.705079
100001,11/4/2023 17:13,0.7127179,227.1368,161.8845,101.9465,-125.7517,-0.6297486,13.80093,1.609869
100001,11/4/2023 17:13,0.7139414,227.0429,162.0953,101.7562,-126.1768,-0.6277552,14.3145,1.69459
100001,11/4/2023 17:13,0.7135921,227.1031,162.0589,102.3537,-125.6456,-0.6315831,15.01235,1.808406
100001,11/4/2023 17:13,0.7128928,227.0064,161.8312,103.1956,-124.6596,-0.6376743,15.01235,1.808406
100001,11/4/2023 17:13,0.7177733,226.9441,162.8944,102.309,-126.7575,-0.6280695,14.3405,1.287679
100001,11/4/2023 17:13,0.7132425,227.0648,161.9523,103.2655,-124.7589,-0.637629,10.12427,1.576875
100001,11/4/2023 17:13,0.7132425,227.1126,161.9863,104.339,-123.907,-0.6441225,11.68224,1.775714
100001,11/4/2023 17:13,0.71044,227.0332,161.2935,103.1047,-124.0363,-0.6392368,15.86806,1.127902
100001,11/4/2023 17:13,0.7097377,226.972,161.0906,103.4014,-123.5246,-0.6418837,13.97026,0.9875133
100001,11/4/2023 17:13,0.7149885,226.6895,162.0804,103.4948,-124.7352,-0.6385401,14.37755,0.5208461
100001,11/4/2023 17:13,0.7113169,226.7994,161.3262,102.2238,-124.8057,-0.6336463,14.50905,1.552111
100001,11/4/2023 17:13,0.7097377,226.7651,160.9438,102.8154,-123.822,-0.638828,12.55114,1.592258
100001,11/4/2023 17:13,0.7030302,226.8712,159.4973,102.8114,-121.9393,-0.6445967,12.79338,1.778259
100001,11/4/2023 17:13,0.7079787,226.6493,160.4629,101.044,-124.6532,-0.6297036,13.09941,0.3217534
100001,11/4/2023 17:13,0.7125429,227.0609,161.7906,102.9088,-124.8439,-0.6360613,12.99676,1.705038
100001,11/4/2023 17:13,0.7097377,226.8293,160.9893,102.0528,-124.5101,-0.6339106,12.99676,1.705038
100001,11/4/2023 17:13,0.7074501,226.7942,160.4456,100.2735,-125.2518,-0.6249689,13.8111,1.333702
100001,11/4/2023 17:13,0.7067448,227.042,160.4607,102.1563,-123.7406,-0.6366436,12.29033,0.7133204
100001,11/4/2023 17:13,0.7030302,226.8778,159.502,101.0536,-123.406,-0.6335573,16.14397,1.201704
100001,11/4/2023 17:13,0.7153372,226.9043,162.3131,102.5538,-125.8104,-0.6318269,13.74459,1.849118
100001,11/4/2023 17:13,0.7065684,226.8995,160.32,102.3442,-123.4025,-0.6383745,12.34371,0.9667925
100001,11/4/2023 17:13,0.7156857,226.7782,162.3019,102.0931,-126.1701,-0.6290323,14.80983,1.684886
100001,11/4/2023 17:13,0.7181206,226.712,162.8066,102.301,-126.6511,-0.628359,15.04915,1.476195
100001,11/4/2023 17:13,0.7039164,226.5398,159.4651,100.5345,-123.7818,-0.6304482,14.87313,0.5279259
100001,11/4/2023 17:13,0.7137668,226.5707,161.7186,102.4326,-125.1418,-0.6334001,14.08623,1.088498
100001,11/4/2023 17:13,0.7160341,226.717,162.3371,102.5783,-125.8214,-0.6318845,14.4756,1.772873
100001,11/4/2023 17:13,0.7019652,226.5287,159.0153,100.8087,-122.9775,-0.6339561,14.37375,0.7632644
100001,11/4/2023 17:13,0.7040935,226.7772,159.6723,100.9006,-123.751,-0.631923,12.73865,2.001958
100001,11/4/2023 17:13,0.7156857,226.4746,162.0846,102.0636,-125.9145,-0.6296931,13.24781,1.624971
100001,11/4/2023 17:13,0.7111417,226.6436,161.1757,102.9418,-124.0185,-0.638693,11.43311,1.218933
100001,11/4/2023 17:13,0.7134174,226.4075,161.523,101.6323,-125.541,-0.6292126,14.01912,1.187072
100001,11/4/2023 17:13,0.7056854,226.6193,159.9219,100.7944,-124.1592,-0.6302727,14.58401,0.9726507
100001,11/4/2023 17:13,0.7040935,226.4619,159.4504,101.7758,-122.7441,-0.6382911,13.87584,1.325824
100001,11/4/2023 17:13,0.7123679,226.6103,161.4299,103.295,-124.0555,-0.6398751,14.11731,0.4023391
100001,11/4/2023 17:13,0.7107909,226.3985,160.922,101.6559,-124.7476,-0.631709,15.50411,1.313219
100001,11/4/2023 17:13,0.7090345,226.442,160.5552,101.1161,-124.7137,-0.6297905,12.6358,1.444574
100001,11/4/2023 17:14,0.7114922,226.3965,161.0793,101.342,-125.2052,-0.6291437,14.67717,1.201468
100001,11/4/2023 17:14,0.7085068,226.4992,160.4762,102.5938,-123.3983,-0.639308,14.50885,0.706534
100001,11/4/2023 17:14,0.7055088,226.4411,159.7562,101.4956,-123.3722,-0.6353154,13.87688,1.397309
100001,11/4/2023 17:14,0.7078025,226.4768,160.3008,102.6679,-123.1083,-0.6404704,15.20861,0.6938632
100001,11/4/2023 17:14,0.7130677,226.4118,161.4469,101.8054,-125.3027,-0.6305814,15.20861,0.6938632
100001,11/4/2023 17:14,0.7056854,226.4455,159.7993,101.6382,-123.3105,-0.6360364,13.96816,0.7862841
