status,time,I_R,V_RN,VA_R,W_R,Var_R,PF_R,I_R_THD,V_RN_THD
110000,11/8/2023 14:41,6.280771,230.3648,1446.869,753.7191,-1235.045,-0.5209312,83.42483,1.130252
110000,11/8/2023 14:41,6.098201,230.4287,1405.201,742.3577,-1193.103,-0.5282931,83.08045,2.535072
110000,11/8/2023 14:41,6.320686,230.4197,1456.41,753.0782,-1246.597,-0.5170783,83.62315,2.511276
110000,11/8/2023 14:41,6.262342,230.2149,1441.684,766.7315,-1220.892,-0.5318304,82.89191,1.819973
110000,11/8/2023 14:41,6.117758,230.3954,1409.503,731.2584,-1204.973,-0.5188057,83.65172,1.544034
110000,11/8/2023 14:41,6.284583,230.4496,1448.28,752.765,-1237.279,-0.519765,83.03395,2.035377
110000,11/8/2023 14:41,6.211725,230.23,1430.125,750.259,-1217.526,-0.5246108,83.11431,2.206252
110000,11/8/2023 14:41,6.228944,230.3664,1434.939,755.6399,-1219.86,-0.5266007,83.17567,1.422968
110000,11/8/2023 14:41,6.215137,230.4115,1432.039,753.0949,-1218.025,-0.5258899,82.79253,2.55873
110000,11/8/2023 14:41,6.104046,230.4128,1406.45,748.1483,-1190.956,-0.5319409,83.59505,2.322479
110000,11/8/2023 14:41,6.108579,230.6776,1409.113,729.5627,-1205.544,-0.5177463,83.36318,2.448501
110000,11/8/2023 14:41,6.036778,230.217,1389.769,728.7397,-1183.383,-0.5243604,83.19482,2.087478
110000,11/8/2023 14:41,6.224257,230.5117,1434.765,755.9676,-1219.452,-0.5268931,83.00726,2.60618
110000,11/8/2023 14:41,6.101819,230.2587,1404.997,733.5308,-1198.311,-0.5220872,83.60838,2.118587
110000,11/8/2023 14:41,6.133532,230.3759,1413.018,746.0745,-1199.997,-0.5280007,83.21107,1.01792
110000,11/8/2023 14:41,6.221512,230.2586,1432.557,753.486,-1218.391,-0.5259728,82.88967,1.855568
110000,11/8/2023 14:41,6.102575,230.4332,1406.236,746.5226,-1191.723,-0.5308658,83.40759,2.512366
110000,11/8/2023 14:41,6.136377,230.5327,1414.635,738.1549,-1206.781,-0.5217987,82.80523,2.565106
110000,11/8/2023 14:41,6.11015,230.3515,1407.483,749.837,-1191.114,-0.5327505,83.48788,2.095999
110000,11/8/2023 14:41,6.136093,230.2524,1412.85,731.9633,-1208.46,-0.5180758,83.22998,3.489389
110000,11/8/2023 14:41,6.209637,230.351,1430.396,752.3508,-1216.553,-0.5259737,82.67572,2.33699
110000,11/8/2023 14:41,6.292473,230.4381,1450.026,772.738,-1226.968,-0.5329133,82.99941,2.074613
110000,11/8/2023 14:41,6.085266,230.45,1402.349,741.3084,-1190.397,-0.5286189,82.96684,2.6044
110000,11/8/2023 14:41,6.192868,230.6858,1428.607,752.1837,-1214.552,-0.5265155,82.81386,2.882652
110000,11/8/2023 14:41,6.124194,230.5301,1411.811,758.7795,-1190.573,-0.5374511,82.73692,2.505247
110000,11/8/2023 14:41,6.142064,230.2607,1414.276,751.3771,-1198.169,-0.5312805,83.88106,1.847889
110000,11/8/2023 14:41,6.17672,230.4085,1423.169,747.7858,-1210.878,-0.5254372,82.98309,2.185681
110000,11/8/2023 14:41,6.143363,230.3397,1415.06,749.5054,-1200.266,-0.5296633,83.18559,1.89114
110000,11/8/2023 14:41,6.052764,230.3684,1394.366,733.1377,-1186.071,-0.5257859,83.25256,1.171448
110000,11/8/2023 14:41,6.048684,230.6538,1395.152,729.8683,-1189.008,-0.5231462,83.3026,0.9103293
110000,11/8/2023 14:41,6.172884,230.3988,1422.225,745.1921,-1211.368,-0.5239623,82.81345,2.431869
110000,11/8/2023 14:41,6.26889,230.6966,1446.212,767.6038,-1225.689,-0.5307686,83.41702,2.322425
