,status,time,I_R,V_RN,VA_R,W_R,Var_R,PF_R,I_R_THD,V_RN_THD
37116,110110000,2023-12-05 09:01:43.388,1.404131,231.8641,325.5676,220.2453,-239.7629,-0.6764964,72.33257,1.09172
37117,110110000,2023-12-05 09:01:44.234,1.404131,231.8641,325.5676,220.2453,-239.7629,-0.6764964,72.04754,1.45661
37118,110110000,2023-12-05 09:01:44.601,1.416914,231.8009,328.4419,223.5576,-240.616,-0.6806611,54.44119,1.455288
37119,110110000,2023-12-05 09:01:45.338,1.416914,231.8009,328.4419,223.5576,-240.616,-0.6806611,54.44119,1.455288
37120,110110000,2023-12-05 09:01:46.243,2.544415,231.696,589.531,338.5677,482.6165,0.5743002,45.52488,1.699132
37121,110110000,2023-12-05 09:01:46.641,4.442403,231.4742,1028.302,525.031,884.1644,0.5105807,50.93893,1.696441
37122,110110000,2023-12-05 09:01:47.241,4.442403,231.4742,1028.302,525.031,884.1644,0.5105807,50.93893,1.696441
37123,110110000,2023-12-05 09:01:48.038,2.827429,231.5318,654.6395,389.0984,526.4554,0.5943705,49.8127,1.745489
37124,110110000,2023-12-05 09:01:48.402,2.890456,231.5947,669.4144,390.9628,543.3818,0.584037,48.15349,1.715009
37125,110110000,2023-12-05 09:01:49.100,2.890456,231.5947,669.4144,390.9628,543.3818,0.584037,54.37795,0.8106692
37126,110110000,2023-12-05 09:01:49.648,3.352249,231.4646,775.9271,431.4803,644.8934,0.5560836,54.37795,0.8106692
37127,110110000,2023-12-05 09:01:50.222,2.287912,231.6464,529.9866,333.4285,411.9602,0.6291263,51.48336,1.821759
37128,110110000,2023-12-05 09:01:50.895,2.729644,231.7078,632.4797,378.408,506.7918,0.5982928,72.10151,1.802173
37129,110110000,2023-12-05 09:01:51.379,2.729644,231.7078,632.4797,378.408,506.7918,0.5982928,72.10151,1.802173
37130,110110000,2023-12-05 09:01:51.957,1.414732,231.8725,328.0374,223.0835,-240.5043,-0.6800549,72.2462,0.6295378
37131,110110000,2023-12-05 09:01:52.370,1.414732,231.8725,328.0374,223.0835,-240.5043,-0.6800549,72.2462,0.6295378
37132,110110000,2023-12-05 09:01:53.040,1.420932,231.6785,329.1995,223.3493,-241.8416,-0.6784621,72.41611,0.975706
37133,110110000,2023-12-05 09:01:53.461,1.420932,231.6785,329.1995,223.3493,-241.8416,0.6727117,72.41611,0.975706
37134,110110000,2023-12-05 09:01:53.994,1.444429,231.8338,334.8676,226.3139,-246.8165,-0.6758308,72.41643,1.588758
37135,110110000,2023-12-05 09:01:54.414,1.386583,231.7654,321.362,217.5058,-236.5687,-0.6768249,72.41643,1.588758
37136,110110000,2023-12-05 09:01:54.949,1.386583,231.7654,321.362,217.5058,-236.5687,-0.6768249,72.86638,0.9322501
37137,110110000,2023-12-05 09:01:55.367,1.417105,231.8733,328.5889,220.4715,-243.6452,-0.6709645,72.86638,0.9322501
37138,110110000,2023-12-05 09:01:55.917,1.417105,231.8733,328.5889,220.4715,-243.6452,-0.6709645,73.19167,1.007627
37139,110110000,2023-12-05 09:01:56.368,1.425911,231.954,330.7459,220.6842,-246.356,-0.667232,73.19167,1.007627
37140,110110000,2023-12-05 09:01:57.273,1.425911,231.954,330.7459,220.6842,-246.356,-0.667232,72.85989,2.050513
37141,110110000,2023-12-05 09:01:57.670,1.405827,231.8645,325.9614,218.7918,-241.6216,-0.6712198,72.2252,1.684967
37142,110110000,2023-12-05 09:01:58.272,1.405827,231.8645,325.9614,218.7918,-241.6216,-0.6712198,72.2252,1.684967
37143,110110000,2023-12-05 09:01:59.179,1.425554,231.9351,330.6361,224.2582,-242.9578,-0.6782628,72.11759,1.880209
37144,110110000,2023-12-05 09:02:00.021,1.408663,231.8652,326.62,222.0341,-239.5444,-0.6797932,72.19938,1.564467
37145,110110000,2023-12-05 09:02:00.387,1.420842,231.933,329.54,223.273,-242.3754,-0.6775291,72.56864,1.870972
37146,110110000,2023-12-05 09:02:01.208,1.420842,231.933,329.54,223.273,-242.3754,-0.6775291,72.44511,0.8464073
37147,110110000,2023-12-05 09:02:01.783,1.420172,231.8723,329.2987,222.4271,-242.8247,-0.6754569,72.44511,0.8464073
37148,110110000,2023-12-05 09:02:02.371,1.420172,231.8723,329.2987,222.4271,-242.8247,-0.6754569,72.79414,1.543151
37149,110110000,2023-12-05 09:02:02.983,1.41358,231.9805,327.9229,220.3018,-242.9003,-0.6718096,72.82762,2.102453
37150,110110000,2023-12-05 09:02:03.529,1.41358,231.9805,327.9229,220.3018,-242.9003,-0.6718096,72.82762,2.102453
37151,110110000,2023-12-05 09:02:04.147,1.741342,231.7738,403.5976,255.0203,312.8188,0.6318678,47.92961,1.468833
37152,110110000,2023-12-05 09:02:04.777,3.998626,231.3766,925.1884,456.5428,804.7002,0.4934592,49.05611,1.586516
37153,110110000,2023-12-05 09:02:05.285,3.998626,231.3766,925.1884,456.5428,804.7002,0.4934592,49.05611,1.586516
37154,110110000,2023-12-05 09:02:05.964,3.29914,231.4734,763.6631,410.2694,644.0966,0.5372387,49.39362,0.8399319
37155,110110000,2023-12-05 09:02:06.384,3.540478,231.6151,820.028,429.5791,698.5039,0.5238591,49.39362,0.8399319
37156,110110000,2023-12-05 09:02:07.091,3.540478,231.6151,820.028,429.5791,698.5039,0.5238591,50.86613,1.679016
37157,110110000,2023-12-05 09:02:07.597,2.997427,231.7321,694.5999,385.8947,577.5416,0.555564,51.35435,2.070747
37158,110110000,2023-12-05 09:02:08.379,2.997427,231.7321,694.5999,385.8947,577.5416,0.555564,51.35435,2.070747
37159,110110000,2023-12-05 09:02:09.240,2.949792,231.7391,683.582,376.408,570.6149,0.5506406,49.07606,1.671659
37160,110110000,2023-12-05 09:02:10.081,3.351979,231.6777,776.5789,412.7589,657.8031,0.5315092,72.41225,1.482372
37161,110110000,2023-12-05 09:02:10.446,1.417292,231.9128,328.6881,222.1672,-242.2346,-0.6759211,72.54292,1.520765
37162,110110000,2023-12-05 09:02:11.182,1.417292,231.9128,328.6881,222.1672,-242.2346,-0.6759211,72.54292,1.520765
37163,110110000,2023-12-05 09:02:12.058,1.399594,231.9078,324.5767,218.9226,-239.6308,-0.6744865,73.01916,1.824287
37164,110110000,2023-12-05 09:02:12.633,1.389498,231.9222,322.2553,220.6861,-234.8322,-0.6848176,73.01916,1.824287
37165,110110000,2023-12-05 09:02:13.210,1.402297,231.8221,325.0835,218.4781,-240.721,-0.6720676,73.20051,1.637431
37176,110110000,2023-12-05 09:02:20.199,1.436876,231.8934,333.202,230.8645,-240.2606,-0.6928666,71.93365,1.018366
37177,110110000,2023-12-05 09:02:21.229,1.436082,231.8819,333.0014,226.7094,-243.9114,-0.6808062,73.28741,0.8146689
37178,110110000,2023-12-05 09:02:21.732,1.417929,231.8552,328.7542,219.0683,-245.1293,-0.6663591,73.28741,0.8146689
37179,110110000,2023-12-05 09:02:22.393,1.417929,231.8552,328.7542,219.0683,-245.1293,-0.6663591,72.46045,1.026364
37180,110110000,2023-12-05 09:02:23.131,1.393225,231.7731,322.9122,218.1239,-238.1055,-0.6754898,72.27264,1.607816
37181,110110000,2023-12-05 09:02:23.635,1.41619,231.6629,328.0786,222.2705,-241.3119,-0.6774916,72.27264,1.607816
37182,110110000,2023-12-05 09:02:24.294,1.41619,231.6629,328.0786,222.2705,-241.3119,-0.6774916,72.2404,0.6155745
37183,110110000,2023-12-05 09:02:25.033,1.428038,231.7002,330.8766,224.3204,-243.2277,-0.6779578,72.43312,1.029668
37184,110110000,2023-12-05 09:02:25.539,1.398177,231.9759,324.3433,219.3103,-238.9594,-0.6761671,72.43312,1.029668
37185,110110000,2023-12-05 09:02:26.157,1.398177,231.9759,324.3433,219.3103,-238.9594,-0.6761671,71.90521,1.602032
37186,110110000,2023-12-05 09:02:26.936,1.373291,231.9796,318.5755,217.1725,-233.0803,-0.6816987,72.77735,1.760423
37187,110110000,2023-12-05 09:02:27.439,1.402874,231.7964,325.181,218.6505,-240.6961,-0.6723964,72.77735,1.760423
37188,110110000,2023-12-05 09:02:27.929,1.402874,231.7964,325.181,218.6505,-240.6961,-0.6723964,52.02069,1.71076
37189,110110000,2023-12-05 09:02:28.392,2.959994,231.583,685.4842,368.2892,578.145,0.5372688,52.02069,1.71076
37190,110110000,2023-12-05 09:02:29.339,2.959994,231.583,685.4842,368.2892,578.145,0.5372688,49.29927,0.6979307
37191,110110000,2023-12-05 09:02:30.310,3.289313,231.5911,761.7757,428.5295,629.8132,0.5625403,51.91365,0.9618998
37192,110110000,2023-12-05 09:02:31.203,2.686528,231.695,622.4552,368.1751,501.894,0.5914886,49.52562,0.670777
37193,110110000,2023-12-05 09:02:32.223,3.136014,231.4937,725.9674,409.6791,599.326,0.5643216,51.29704,0.8370805
37194,110110000,2023-12-05 09:02:32.729,2.813828,231.6101,651.711,383.235,527.1225,0.5880444,51.29704,0.8370805
37195,110110000,2023-12-05 09:02:33.391,2.813828,231.6101,651.711,383.235,527.1225,0.5880444,51.74246,1.674731
